obs_time,location,obs
2023-05-15 10:00:00,129,0.4
2023-05-15 11:00:00,129,0.6
2023-05-15 12:00:00,129,0.7
2023-05-15 13:00:00,129,5.4
2023-05-15 14:00:00,129,12.6
2023-05-15 15:00:00,129,20.2
2023-05-15 16:00:00,129,25.3
2023-05-15 17:00:00,129,27.4
2023-05-15 18:00:00,129,28.7
2023-05-15 19:00:00,129,30.1
2023-05-15 20:00:00,129,24.5
2023-05-15 21:00:00,129,24.5
2023-05-15 22:00:00,129,24.0
2023-05-15 23:00:00,129,22.0
2023-05-16 00:00:00,129,20.5
2023-05-16 01:00:00,129,18.8
2023-05-16 02:00:00,129,15.9
2023-05-16 03:00:00,129,15.0
2023-05-16 04:00:00,129,14.3
2023-05-16 05:00:00,129,11.8
2023-05-16 06:00:00,129,10.1
2023-05-16 07:00:00,129,9.1
2023-05-16 08:00:00,129,5.4
2023-05-16 09:00:00,129,3.5
2023-05-16 10:00:00,129,2.1
2023-05-16 11:00:00,129,4.3
2023-05-16 12:00:00,129,4.9
2023-05-16 13:00:00,129,6.5
2023-05-16 14:00:00,129,10.1
2023-05-16 15:00:00,129,12.6
2023-05-16 16:00:00,129,14.7
2023-05-16 17:00:00,129,16.7
2023-05-16 18:00:00,129,17.7
2023-05-16 19:00:00,129,18.4
2023-05-16 20:00:00,129,20.1
2023-05-16 21:00:00,129,20.3
2023-05-16 22:00:00,129,21.3
2023-05-16 23:00:00,129,21.3
2023-05-17 00:00:00,129,21.2
2023-05-17 01:00:00,129,20.1
2023-05-17 02:00:00,129,18.0
2023-05-17 03:00:00,129,12.3
2023-05-17 04:00:00,129,8.3
2023-05-17 05:00:00,129,5.7
2023-05-17 06:00:00,129,2.9
2023-05-08 07:00:00,131,2.3
2023-05-08 08:00:00,131,2.2
2023-05-08 09:00:00,131,0.6
2023-05-08 10:00:00,131,7.0
2023-05-08 11:00:00,131,6.9
2023-05-08 12:00:00,131,5.9
2023-05-08 13:00:00,131,7.8
2023-05-08 14:00:00,131,8.0
2023-05-08 15:00:00,131,11.1
2023-05-08 16:00:00,131,12.5
2023-05-08 17:00:00,131,13.5
2023-05-08 18:00:00,131,16.0
2023-05-08 19:00:00,131,15.9
2023-05-08 20:00:00,131,15.9
2023-05-08 21:00:00,131,15.7
2023-05-08 22:00:00,131,15.5
2023-05-08 23:00:00,131,16.0
2023-05-09 00:00:00,131,15.8
2023-05-09 01:00:00,131,15.3
2023-05-09 02:00:00,131,14.1
2023-05-09 03:00:00,131,13.5
2023-05-09 04:00:00,131,10.7
2023-05-09 05:00:00,131,9.9
2023-05-09 06:00:00,131,6.7
2023-05-09 07:00:00,131,5.1
2023-05-09 08:00:00,131,5.9
2023-05-09 09:00:00,131,6.0
2023-05-09 10:00:00,131,5.4
2023-05-09 11:00:00,131,4.7
2023-05-09 12:00:00,131,4.9
2023-05-09 13:00:00,131,6.0
2023-05-09 14:00:00,131,9.1
2023-05-09 15:00:00,131,12.0
2023-05-09 16:00:00,131,15.9
2023-05-09 17:00:00,131,17.8
2023-05-09 18:00:00,131,19.2
2023-05-09 19:00:00,131,20.3
2023-05-09 20:00:00,131,21.3
2023-05-09 21:00:00,131,22.3
2023-05-09 22:00:00,131,22.5
2023-05-09 23:00:00,131,22.3
2023-05-10 00:00:00,131,21.7
2023-05-10 01:00:00,131,21.0
2023-05-10 02:00:00,131,18.7
2023-05-10 03:00:00,131,15.9
2023-05-10 04:00:00,131,13.2
2023-05-10 05:00:00,131,7.9
2023-05-10 06:00:00,131,6.1
2023-05-10 07:00:00,131,7.4
2023-05-10 08:00:00,131,7.6
2023-05-10 09:00:00,131,8.6
2023-05-10 10:00:00,131,6.8
2023-05-10 11:00:00,131,6.7
2023-05-10 12:00:00,131,6.5
2023-05-10 13:00:00,131,7.8
2023-05-10 14:00:00,131,11.3
2023-05-10 15:00:00,131,14.5
2023-05-10 16:00:00,131,17.9
2023-05-10 17:00:00,131,21.1
2023-05-10 18:00:00,131,22.3
2023-05-10 19:00:00,131,22.6
2023-05-10 20:00:00,131,23.6
2023-05-10 21:00:00,131,23.7
2023-05-10 22:00:00,131,23.2
2023-05-10 23:00:00,131,24.1
2023-05-11 00:00:00,131,21.9
2023-05-11 01:00:00,131,23.4
2023-05-11 02:00:00,131,15.3
2023-05-11 03:00:00,131,10.1
2023-05-11 04:00:00,131,7.4
2023-05-11 05:00:00,131,4.6
2023-05-11 06:00:00,131,6.0
2023-05-11 07:00:00,131,3.2
2023-05-11 08:00:00,131,7.3
2023-05-11 09:00:00,131,3.6
2023-05-11 10:00:00,131,6.1
2023-05-11 11:00:00,131,6.5
2023-05-11 12:00:00,131,7.0
2023-05-11 13:00:00,131,8.9
2023-05-11 14:00:00,131,10.8
2023-05-11 15:00:00,131,13.8
2023-05-11 16:00:00,131,17.7
2023-05-11 17:00:00,131,18.4
2023-05-11 18:00:00,131,20.0
2023-05-11 19:00:00,131,20.3
2023-05-11 20:00:00,131,20.5
2023-05-11 21:00:00,131,22.0
2023-05-11 22:00:00,131,21.9
2023-05-11 23:00:00,131,21.8
2023-05-12 00:00:00,131,22.3
2023-05-12 01:00:00,131,21.5
2023-05-12 02:00:00,131,18.6
2023-05-12 03:00:00,131,18.2
2023-05-12 04:00:00,131,10.0
2023-05-12 05:00:00,131,8.2
2023-05-12 06:00:00,131,9.1
